id,id_groupement,nom,created_by,created_on,updated_by,updated_on,longitude,latitude
1249,73,MIHANDA/UFAMANDU 1,Olivier,14:03.8,NULL,NULL,NULL,NULL
1250,80,MIHANDA/ZIRALO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1251,10,MIHANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1252,9,MIHANJA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1253,11,MIHARA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1254,62,MIHIMOLI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1255,73,MIHORE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1256,67,MIKENO,Olivier,14:03.8,Olivier,42:24.9,0,0
1257,11,MIKONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1258,48,MIKUMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1259,67,MIKWETI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1260,2,MILEMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1261,54,MILINDE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1262,45,MINDJENDJE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1263,62,MINE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1264,29,MINOVA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1265,71,MIRANGARA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1266,62,MIRANGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1267,41,MIRANGI/KANYABAYONGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1268,62,MIRANGI/MUTANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1269,35,MIRIBEL,Olivier,14:03.8,NULL,NULL,NULL,NULL
1270,37,MIRIKI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1271,68,MIRINDANO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1272,68,MIRINDI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1273,11,MIRINGE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1274,35,MIROMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1275,35,MIRUNGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1276,60,MIRUNGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1277,71,MIRUZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1278,34,MISAU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1279,61,MISEKE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1280,57,MISEKERA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1281,60,MISHANGE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1282,4,MISHASHI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1283,73,MISHAVU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1284,7,MISHEKE ,Olivier,14:03.8,NULL,NULL,NULL,NULL
1285,10,MISHEO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1286,73,MISIMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1287,11,MISINGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1288,34,MISOKE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1289,10,MITANDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1290,39,MITI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1291,11,MITI/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1292,37,MITI/ITALA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1293,10,MITOI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1294,57,MITOOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1295,57,MITUMBALA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1296,11,MITUNGALA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1297,73,MIYANO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1298,7,MIYANYA ,Olivier,14:03.8,NULL,NULL,NULL,NULL
1299,68,MIYUMU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1300,11,MOKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1301,10,MOTOBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1302,68,MPANAMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1303,10,MPANAMU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1304,11,MPATI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1305,76,MPOFI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1306,45,MPOMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1307,27,MPUNGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1308,73,MUBALI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1309,40,MUBAMBIRO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1310,60,MUBINGWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1311,43,MUBIRUBIRU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1312,29,MUBUGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1313,73,MUGALIYA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1314,59,MUGARA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1315,27,MUGOGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1316,69,MUGORA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1317,69,MUGOSI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1318,27,MUGOTI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1319,17,MUGUGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1320,69,MUGWATA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1321,60,MUHAGAZI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1322,71,MUHAMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1323,9,MUHANGA/BAPFUNA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1324,11,MUHANGA/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1325,19,MUHANGA/BUABO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1326,24,MUHANGA/BUKOMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1327,43,MUHANGA/KIHONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1328,67,MUHANGA/NYAMABOKO 1,Olivier,14:03.8,NULL,NULL,NULL,NULL
1329,19,MUHEMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1330,62,MUHENGAMO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1331,10,MUHETO,Olivier,14:03.8,NULL,NULL,NULL,NULL
