id,code,nom,created_by,id_type_site,longitude,latitude, id_groupement, id_village,id_zone_sante,id_droit_propriete,id_milieu,id_accessibilite,date_identification,date_ouverture,blocked,axe,date_fermeture,zone,manager
3,DRC08004000201SS,KIBABI/KISHUSHA,Jeobert,1,28.874,-1.54014,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Rubaya,NULL,C,C
5,DRC08004000200SS,KIBABI/BUPORO,Patrick,1,28.849311,-1.54919,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Rubaya,NULL,C,C
6,DRC08004000002SS,SHASHA,Patrick,1,29.01482,-1.62046,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Bweremana-Nzulo,NULL,B,P
7,DRC08004000001SS,NZULO,Patrick,1,29.09579,-1.61436,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Bweremana-Nzulo,NULL,B,P
8,DRC08004000202SS,KIBABI/POLICE,Patrick,1,28.830086,-1.555794,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Rubaya,NULL,C,C
9,DRC08002011001SS,MUGUNGA 2,SJ,1,29.15653,-1.619631,904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,GOMA,NULL,A,NULL
10,DRC08002011000SS,MUGUNGA 1,SJ,1,29.14162,-1.60975,904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Goma,NULL,A,P
11,DRC08002000602SS,LAC VERT,Patrick,1,29.12963,-1.60755,856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Goma,NULL,A,P
12,DRC08002000601SS,BULENGO,Patrick,1,29.12619,-1.62264,856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Goma,NULL,A,P
13,DRC08002011002SS,SNEL,Patrick,1,29.16679,-1.61853,904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,GOMA,NULL,A,NULL
14,DRC08002000600SS,BUHIMBA,Patrick,1,29.14048,-1.62951,856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Goma,NULL,A,P
15,DRC08004000404SS,BWEREMANA,Patrick,1,29.016486,-1.691073,60,334,NULL,1,3,2,NULL,NULL,1,Bweremana-Nzulo,NULL,B,P
16,DRC08004030100SS,KATALE,Patrick,1,28.87328,-1.43901,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MasisiCentre,NULL,D,A
17,DRC08002010600CC,EGLISESAMARIA,Patrick,10,29.227147,-1.649036,900,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,A,NULL
18,DRC08002010602CC,USHINDI,Patrick,3,29.22723,-1.6482,900,NULL,NULL,2,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19,DRC08002010601CC,NAZAREE,Patrick,3,29.23141,-1.65384,900,NULL,NULL,2,1,1,NULL,NULL,1,NULL,NULL,A,NULL
23,DRC08004030200SS,BONDE,Olivier,1,28.781035,-1.335294,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MasisiCentre,NULL,D,A
24,DRC08004030202SS,BUSHANI,Patrick,1,28.743608,-1.316087,15,NULL,NULL,NULL,3,NULL,NULL,NULL,0,MasisiCentre,NULL,D,A
25,DRC08004030203SS,NYABIONDO,Patrick,1,28.7296344918,-1.31047416234,15,68,NULL,NULL,NULL,NULL,NULL,NULL,0,MasisiCentre,NULL,D,A
26,DRC08004030201SS,BURORA,Patrick,1,28.76428188,-1.3249630573,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,MasisiCentre,NULL,D,A
27,DRC08002000100CC,DIVAS (DIVISION AFFAIRES SOCIALES),Olivier,3,0,0,851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MASISI,NULL,B,NULL
28,DRC08004000000CC,EGLISE EDAC SAKE,Olivier,10,0,0,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MASISI,NULL,B,NULL
29,DRC08004010000CC,EP KABALEKASHA (BUNGU),Olivier,3,0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MASISI,NULL,E,NULL
30,DRC08007000100CC,EP KIUSHA,Olivier,3,0,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MASISI,NULL,E,NULL
31,DRC08004010001CC,EP MWANJA (BURUNGU),Olivier,3,0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,MASISI,NULL,E,NULL
33,DRC08002000200CC,ECOLE DES SOURDS,Olivier,3,0,0,852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,RUTSHURU,NULL,A,NULL
34,DRC08007000101SS,KIZIMBA,Olivier,1,29.094417,-1.248806,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Kilolirwe-Kitchanga,NULL,E,P
35,DRC08004010107SS,KABUYE,Olivier,1,28.95544,-0.993543207229,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Mweso-Pinga,NULL,F,P
36,DRC08002000500SS,SOTRAKI,Olivier,1,0,0,855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,GOMA,NULL,A,NULL
37,DRC08004010101SS,BWERU,Import,1,28.9462957305,-1.09674558041,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Mweso-Pinga,NULL,F,P
38,DRC08004010103SS,KITSO,Import,1,28.833908,-1.126611,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Mweso-Pinga,NULL,F,P
